"","pkg","pub_date"
"2558","chess","2020-11-25"
"2559","chess2plyrs","2025-06-02"
"2560","chessboard","2023-10-14"
"2561","ChessGmooG","2024-08-27"
"2562","chest","2019-12-16"
"2563","ChestVolume","2024-09-24"
"2564","chevron","2024-02-01"
"2565","chi","2016-07-02"
"2566","chicane","2018-08-30"
"2567","childdevdata","2021-04-15"
"2568","childesr","2018-05-18"
"2569","childeswordfreq","2025-04-08"
"2570","childfree","2024-04-05"
"2571","childsds","2014-08-21"
"2572","chilemapas","2020-01-24"
"2573","ChillModels","2019-03-07"
"2574","chillR","2013-05-16"
"2575","ChineseNames","2021-04-01"
"2576","chipPCR","2013-12-12"
"2577","chirps","2020-07-03"
"2578","chisq.posthoc.test","2019-10-25"
"2579","chisquare","2022-03-08"
"2580","chk","2019-11-15"
"2581","chkptstanr","2022-04-22"
"2582","chlorpromazineR","2019-10-11"
"2583","CHMM","2017-04-19"
"2584","CHNCapitalStock","2020-06-25"
"2585","chngpt","2013-09-09"
"2586","CHNOSZ","2009-04-23"
"2587","choiceDes","2014-11-24"
"2588","ChoiceModelR","2012-01-04"
"2589","CHOIRBM","2021-02-15"
"2590","cholera","2017-08-10"
"2591","CholWishart","2018-02-26"
"2592","chooseGCM","2024-11-21"
"2593","choosepc","2023-10-24"
"2594","choplump","2007-09-04"
"2595","chopper","2025-05-27"
"2596","chopthin","2015-03-26"
"2597","ChoR","2017-02-20"
"2598","chords","2012-09-05"
"2599","chores","2025-02-21"
"2600","choroplethr","2014-02-06"
"2601","choroplethrAdmin1","2014-12-02"
"2602","choroplethrMaps","2014-10-25"
"2603","chouca","2024-02-29"
"2604","christmas","2019-12-13"
"2605","chromConverter","2022-04-19"
"2606","chromer","2015-01-13"
"2607","chromoMap","2018-05-15"
"2608","chromote","2022-04-19"
"2609","chromseq","2020-05-11"
"2610","chron","1999-04-10"
"2611","chronicle","2021-01-21"
"2612","chronicler","2022-05-17"
"2613","chronochrt","2021-08-02"
"2614","chronosphere","2019-12-16"
"2615","chunked","2015-10-12"
"2616","chunkhooks","2020-08-05"
"2617","chunkR","2018-01-15"
"2618","chyper","2021-08-13"
"2619","cia","2024-11-13"
"2620","CIAAWconsensus","2016-12-31"
"2621","CIARA","2022-02-22"
"2622","CICA","2021-07-01"
"2623","ciCalibrate","2023-04-26"
"2624","ciccr","2020-09-18"
"2625","cicerone","2020-02-29"
"2626","CICI","2023-09-18"
"2627","CIDER","2021-11-19"
"2628","CIEE","2017-11-16"
"2629","cif","2021-04-02"
"2630","CIfinder","2023-06-15"
"2631","cifti","2017-05-05"
"2632","ciftiTools","2020-11-20"
"2633","CIM","2019-01-02"
"2634","cimir","2019-01-04"
"2635","CIMPLE","2024-11-12"
"2636","CIMTx","2020-04-15"
"2637","cinaR","2020-11-14"
"2638","cinaRgenesets","2021-01-22"
"2639","CINE","2022-08-12"
"2640","CINID","2013-10-12"
"2641","CINmetrics","2021-08-02"
"2642","CINNA","2017-07-15"
"2643","cinterpolate","2019-04-10"
"2644","CIPerm","2022-04-26"
"2645","cipheR","2022-11-16"
"2646","ciphertext","2024-12-20"
"2647","CIplot","2017-08-14"
"2648","CIpostSelect","2024-10-02"
"2649","cir","2008-01-31"
"2650","circacompare","2021-02-08"
"2651","CirceR","2024-04-18"
"2652","circhelp","2024-07-04"
"2653","circle","2021-04-21"
"2654","circles","2025-05-02"
"2655","CirclesIntersections","2022-08-18"
"2656","circlesplot","2024-02-14"
"2657","circletyper","2021-01-20"
"2658","circlize","2013-05-26"
"2659","circlizePlus","2025-04-22"
"2660","circlus","2024-10-17"
"2661","CircMLE","2017-05-13"
"2662","CircNNTSR","2009-09-09"
"2663","CircNNTSRaxial","2025-04-23"
"2664","CircNNTSRmult","2023-09-12"
"2665","CircNNTSRSymmetric","2025-02-05"
"2666","CircOutlier","2015-06-09"
"2667","CircSpaceTime","2019-06-06"
"2668","CircStats","2002-02-21"
"2669","circular","2004-05-26"
"2670","CircularDDM","2017-03-30"
"2671","circularEV","2021-01-21"
"2672","CircularSilhouette","2022-04-27"
"2673","circumplex","2018-07-31"
"2674","cirls","2024-09-12"
"2675","cIRT","2015-12-07"
"2676","CIS.DGLM","2022-01-17"
"2677","cisp","2024-11-21"
"2678","cit","2011-09-07"
"2679","CITAN","2011-02-28"
"2680","citation","2020-06-30"
"2681","citationchaser","2022-01-27"
"2682","citecorp","2019-08-24"
"2683","cities","2022-10-17"
"2684","CITMIC","2024-06-14"
"2685","citmre","2024-04-19"
"2686","cito","2022-08-11"
"2687","ciTools","2017-08-07"
"2688","citrus","2021-11-17"
"2689","ciu","2020-11-20"
"2690","ciuupi","2018-03-20"
"2691","ciuupi2","2021-03-11"
"2692","civ","2023-12-08"
"2693","civis","2017-09-16"
"2694","ciw","2024-03-13"
"2695","CJAMP","2018-04-24"
"2696","cjar","2022-03-02"
"2697","cjbart","2021-05-25"
"2698","CJIVE","2023-01-20"
"2699","cjoint","2014-11-25"
"2700","ckanr","2015-10-22"
"2701","CKAT","2019-10-09"
"2702","CKLRT","2018-07-19"
"2703","Ckmeans.1d.dp","2010-10-26"
"2704","CLA","2018-01-15"
"2705","Claddis","2015-04-28"
"2706","cladoRcpp","2013-04-04"
"2707","ClaimsProblems","2021-04-07"
"2708","clam","2018-01-08"
"2709","ClamR","2015-07-29"
"2710","clap","2024-06-28"
"2711","clarabel","2023-04-25"
"2712","clarifai","2015-11-12"
"2713","clarify","2023-01-25"
"2714","clarkeTest","2020-03-12"
"2715","class","2009-05-08"
"2716","ClassComparison","2017-07-11"
"2717","ClassDiscovery","2017-07-12"
"2718","classGraph","2007-06-28"
"2719","classicaltest","2024-10-28"
"2720","ClassificationEnsembles","2025-04-01"
"2721","classifierplots","2017-01-12"
"2722","classifly","2006-10-26"
"2723","classInt","2006-03-10"
"2724","classmap","2021-05-10"
"2725","CLAST","2022-04-05"
"2726","clayringsmiletus","2025-03-10"
"2727","clc","2024-12-10"
"2728","cld2","2017-06-03"
"2729","cld3","2017-06-08"
"2730","clda","2020-06-25"
"2731","clean","2019-07-28"
"2732","CleanBSequences","2018-05-11"
"2733","cleancall","2019-05-20"
"2734","cleandata","2018-07-21"
"2735","cleanepi","2024-06-17"
"2736","cleaner","2019-11-05"
"2737","Cleanet","2024-12-19"
"2738","cleangeo","2015-09-27"
"2739","CleaningValidation","2024-05-17"
"2740","cleanNLP","2016-11-11"
"2741","cleanr","2016-12-21"
"2742","cleanrmd","2022-06-14"
"2743","cleanTS","2021-08-26"
"2744","cleaR","2022-02-24"
"2745","clespr","2018-01-16"
"2746","clevr","2020-12-04"
"2747","clhs","2012-01-13"
"2748","cli","2017-11-05"
"2749","cliapp","2018-12-16"
"2750","clickableImageMap","2024-05-14"
"2751","clickb","2023-02-13"
"2752","ClickClust","2014-04-28"
"2753","ClickClustCont","2019-08-08"
"2754","ClickHouseHTTP","2022-03-29"
"2755","clickR","2016-11-21"
"2756","clickstream","2014-02-28"
"2757","clidamonger","2023-02-09"
"2758","clidatajp","2022-10-05"
"2759","cliff","2021-11-02"
"2760","clifford","2020-01-30"
"2761","clifro","2015-03-04"
"2762","CliftLRD","2018-07-18"
"2763","climaemet","2020-07-07"
"2764","climate","2019-12-13"
"2765","climateStability","2019-05-24"
"2766","climatol","2006-05-29"
"2767","climatrends","2020-02-28"
"2768","ClimClass","2014-12-03"
"2769","CLimd","2024-01-10"
"2770","clime","2011-02-03"
"2771","climetrics","2022-07-19"
"2772","climextRemes","2016-08-10"
"2773","ClimInd","2019-07-18"
"2774","ClimMobTools","2019-08-07"
"2775","climodr","2025-06-12"
"2776","climwin","2015-03-06"
"2777","clinDataReview","2021-06-30"
"2778","clinDR","2017-12-04"
"2779","clinfun","2007-02-25"
"2780","clinical","2025-06-04"
"2781","clinicalomicsdbR","2024-06-26"
"2782","clinicalsignificance","2022-06-03"
"2783","ClinicalTrialSummary","2017-11-07"
"2784","ClinicalUtilityRecal","2020-04-15"
"2785","clinify","2025-03-13"
"2786","clinmon","2020-09-29"
"2787","clinPK","2017-06-19"
"2788","clinpubr","2025-06-23"
"2789","clinsig","2009-03-16"
"2790","ClinSigMeasures","2021-02-25"
"2791","clinspacy","2021-03-20"
"2792","clintools","2021-05-17"
"2793","ClinTrialPredict","2024-11-25"
"2794","clintrialx","2024-09-03"
"2795","clinUtils","2021-06-08"
"2796","cliot","2024-01-22"
"2797","clipp","2020-07-06"
"2798","clipr","2015-09-02"
"2799","CliquePercolation","2019-10-28"
"2800","clisymbols","2015-06-08"
"2801","CLME","2014-10-17"
"2802","clmplus","2022-09-01"
"2803","clock","2021-03-31"
"2804","clockify","2021-09-08"
"2805","clockSim","2025-04-07"
"2806","clogitboost","2015-11-26"
"2807","clogitL1","2013-06-14"
"2808","cloneRate","2023-09-22"
"2809","CloneSeeker","2019-04-12"
"2810","CLONETv2","2019-04-05"
"2811","clootl","2025-04-10"
"2812","clordr","2018-02-06"
"2813","closeloop","2024-07-14"
"2814","cloudfs","2023-10-18"
"2815","cloudos","2021-08-09"
"2816","cloudstoR","2021-08-06"
"2817","cloudUtil","2012-03-20"
"2818","clptheory","2023-04-04"
"2819","clr","2018-12-03"
"2820","CLSIEP15","2023-11-10"
"2821","clttools","2015-08-23"
"2822","clubpro","2023-10-06"
"2823","clubSandwich","2016-07-23"
"2824","clue","2004-12-29"
"2825","ClueR","2015-02-05"
"2826","clugenr","2023-01-27"
"2827","CluMP","2019-04-05"
"2828","ClusBoot","2023-05-30"
"2829","cluscov","2019-06-04"
"2830","clusEvol","2024-02-26"
"2831","ClusPred","2021-06-18"
"2832","clusrank","2015-12-14"
"2833","ClusROC","2022-05-25"
"2834","ClussCluster","2019-07-02"
"2835","clust.bin.pair","2016-10-26"
"2836","clustAnalytics","2022-03-03"
"2837","ClustAssess","2021-03-31"
"2838","ClustBlock","2019-03-06"
"2839","ClusTCR2","2024-05-16"
"2840","clustcurv","2019-03-25"
"2841","clustEff","2017-09-26"
"2842","cluster","1999-04-12"
"2843","cluster.datasets","2013-10-29"
"2844","Cluster.OBeu","2018-02-12"
"2845","ClusterBootstrap","2017-06-12"
"2846","clusterCrit","2012-11-20"
"2847","clusterGeneration","2006-11-13"
"2848","ClusterGVis","2025-02-14"
"2849","clusterhap","2016-05-16"
"2850","clusterHD","2022-04-14"
"2851","Clustering","2020-03-31"
"2852","clustering.sc.dp","2015-05-04"
"2853","clusterMI","2024-03-12"
"2854","clustermole","2020-01-20"
"2855","clustermq","2017-08-28"
"2856","clusternomics","2016-08-01"
"2857","ClusterR","2016-09-06"
"2858","ClusterRankTest","2016-04-28"
"2859","clusterRepro","2009-03-01"
"2860","clusterSEs","2015-03-03"
"2861","clusterSim","2007-02-17"
"2862","ClusterStability","2015-09-15"
"2863","clustertend","2015-05-20"
"2864","clusterv","2025-05-14"
"2865","ClusterVAR","2024-06-06"
"2866","ClustGeo","2015-06-23"
"2867","ClustImpute","2019-08-01"
"2868","clustlearn","2023-09-14"
"2869","ClustMC","2024-08-27"
"2870","clustMD","2014-06-12"
"2871","clustMixType","2016-02-27"
"2872","clustNet","2023-09-05"
"2873","ClustOfVar","2010-12-01"
"2874","clustord","2025-05-29"
"2875","ClusTorus","2021-02-10"
"2876","clustra","2021-11-22"
"2877","clusTransition","2021-02-22"
"2878","clustrd","2013-10-23"
"2879","clustree","2018-03-27"
"2880","clustringr","2019-03-30"
"2881","CLUSTShiny","2019-04-28"
"2882","clustTMB","2024-10-14"
"2883","clustur","2024-11-14"
"2884","ClustVarLV","2013-10-31"
"2885","clustvarsel","2006-03-20"
"2886","clv","2007-07-16"
"2887","clValid","2007-06-05"
"2888","CLVTools","2020-05-08"
"2889","cmaes","2010-05-25"
"2890","cmaesr","2016-01-19"
"2891","cmahalanobis","2024-02-20"
"2892","cmAnalysis","2025-03-13"
"2893","CMAPSS","2021-09-09"
"2894","CMapViz","2019-11-06"
"2895","cmaRs","2021-02-22"
"2896","CMatching","2017-09-19"
"2897","cmbClust","2022-11-03"
"2898","cmce","2018-05-24"
"2899","cmcR","2020-12-16"
"2900","cmdfun","2020-09-20"
"2901","cmenet","2019-01-20"
"2902","CMF","2020-03-12"
"2903","cmfrec","2020-11-23"
"2904","CMFsurrogate","2022-09-23"
"2905","CMGFM","2024-06-25"
"2906","cmhc","2022-06-15"
"2907","CMHNPA","2022-08-09"
"2908","CMHSU","2025-01-10"
"2909","CMIP6VisR","2025-03-03"
"2910","cml","2021-11-29"
"2911","CMLS","2018-06-10"
"2912","cmm","2009-06-03"
"2913","cmmr","2019-04-16"
"2914","CMMs","2022-10-17"
"2915","cmna","2016-02-05"
"2916","cmocean","2019-04-23"
"2917","CMplot","2015-05-26"
"2918","cmpp","2025-05-02"
"2919","cmprsk","2001-03-12"
"2920","cmprskcoxmsm","2021-01-22"
"2921","cmprskQR","2014-11-27"
"2922","cmpsR","2021-10-29"
"2923","cmR","2021-03-31"
"2924","cmrutils","2009-06-18"
"2925","cms","2020-09-10"
"2926","cmsaf","2015-06-26"
"2927","cmsafops","2020-09-17"
"2928","cmsafvis","2020-10-06"
"2929","CMShiny","2019-10-24"
"2930","cmstatr","2020-07-13"
"2931","cmstatrExt","2024-05-07"
"2932","cmtest","2021-12-14"
"2933","cmvnorm","2015-02-10"
"2934","cna","2014-05-12"
"2935","CNAIM","2020-10-05"
"2936","cnaOpt","2019-10-21"
"2937","cnbdistr","2017-07-17"
"2938","cncaGUI","2011-01-25"
"2939","cnd","2025-02-26"
"2940","CNID","2023-10-24"
"2941","CNLTreg","2017-03-04"
"2942","CNLTtsa","2017-03-08"
"2943","cnmap","2024-04-02"
"2944","cNORM","2018-11-14"
"2945","CNprep","2013-06-20"
"2946","CNPS","2021-05-25"
"2947","cnum","2020-03-20"
"2948","CNVreg","2025-03-10"
"2949","CNVRG","2020-09-16"
"2950","CNVScope","2018-10-20"
"2951","coala","2015-07-14"
"2952","coalescentMCMC","2012-10-08"
"2953","COAP","2024-02-29"
"2954","coarseDataTools","2010-04-09"
"2955","CoastlineFD","2023-08-24"
"2956","coat","2023-07-11"
"2957","cobalt","2016-07-15"
"2958","cobenrich","2025-04-15"
"2959","cobiclust","2018-10-15"
"2960","cobs","2002-04-28"
"2961","coca","2020-03-26"
"2962","cocktailApp","2018-07-05"
"2963","CoClust","2012-02-27"
"2964","coconots","2023-03-29"
"2965","cocons","2024-08-01"
"2966","cocoon","2024-11-05"
"2967","cocor","2012-11-30"
"2968","cocorresp","2005-11-10"
"2969","cocosoR","2023-07-06"
"2970","cocotest","2024-01-10"
"2971","cocron","2012-10-30"
"2972","coda","1999-06-04"
"2973","coda.base","2017-07-18"
"2974","coda.plot","2025-04-08"
"2975","coda4microbiome","2022-03-17"
"2976","codacore","2022-01-07"
"2977","CoDaImpact","2024-03-23"
"2978","codalm","2020-06-25"
"2979","CoDaLoMic","2025-01-20"
"2980","codaredistlm","2022-12-22"
"2981","CodataGS","2019-05-17"
"2982","cOde","2015-03-09"
"2983","codebook","2018-03-21"
"2984","codebookr","2022-07-18"
"2985","codebreaker","2020-11-12"
"2986","codeCollection","2021-03-31"
"2987","codecountR","2023-08-16"
"2988","CodeDepends","2017-05-29"
"2989","codelist","2025-02-20"
"2990","CodelistGenerator","2023-02-07"
"2991","codemeta","2021-07-22"
"2992","codemetar","2018-02-08"
"2993","codename","2021-04-14"
"2994","codep","2012-10-29"
"2995","coder","2021-01-18"
"2996","codestral","2025-05-09"
"2997","codetools","2007-02-25"
"2998","codewhere","2024-06-04"
"2999","codexcopd","2020-05-18"
"3000","codez","2022-09-23"
"3001","codified","2018-09-30"
"3002","CoDiNA","2018-02-08"
"3003","codingMatrices","2016-02-10"
"3004","codyn","2015-10-20"
"3005","coefa","2022-09-26"
"3006","coefficientalpha","2013-04-13"
"3007","coefplot","2011-10-27"
"3008","coenocliner","2014-08-01"
"3009","coenoflex","2012-10-29"
"3010","cofad","2019-08-27"
"3011","cofeatureR","2015-12-23"
"3012","coffee","2021-08-21"
"3013","cofid","2024-05-28"
"3014","coga","2017-05-25"
"3015","cogirt","2025-02-07"
"3016","coglasso","2024-04-03"
"3017","cogmapr","2019-04-11"
"3018","cognitoR","2020-03-31"
"3019","cohetsurr","2024-11-21"
"3020","CohortAlgebra","2023-09-13"
"3021","cohortBuilder","2022-06-01"
"3022","CohortCharacteristics","2024-04-16"
"3023","CohortConstructor","2024-06-01"
"3024","CohortExplorer","2023-09-12"
"3025","CohortGenerator","2024-09-15"
"3026","CohortPathways","2025-03-19"
"3027","CohortPlat","2021-01-25"
"3028","cohorts","2021-07-08"
"3029","CohortSurvival","2023-12-07"
"3030","CohortSymmetry","2024-06-04"
"3031","cohorttools","2019-10-28"
"3032","CoImp","2014-03-01"
"3033","coin","2005-02-25"
"3034","coinmarketcapr","2017-09-26"
"3035","Coinprofile","2019-08-25"
"3036","COINr","2021-09-06"
"3037","cointmonitoR","2016-06-14"
"3038","cointReg","2016-06-06"
"3039","cold","2013-06-27"
"3040","colf","2016-12-03"
"3041","collapse","2020-03-19"
"3042","CollapseLevels","2017-10-27"
"3043","collapsibleTree","2017-03-22"
"3044","collateral","2018-11-19"
"3045","collatz","2022-09-05"
"3046","collections","2018-07-30"
"3047","collegeScorecard","2024-07-29"
"3048","collett","2025-01-09"
"3049","collidr","2019-05-04"
"3050","collin","2021-02-15"
"3051","collinear","2023-10-24"
"3052","CollocInfer","2010-05-17"
"3053","collpcm","2017-03-13"
"3054","colmozzie","2018-02-22"
"3055","coloc","2012-01-04"
"3056","colocalization","2018-05-17"
"3057","colocalized","2019-09-19"
"3058","colocboost","2025-05-02"
"3059","colocPropTest","2024-06-11"
"3060","ColombiAPI","2025-01-09"
"3061","ColOpenData","2024-09-17"
"3062","colorblindcheck","2021-09-09"
"3063","colorBlindness","2020-03-16"
"3064","colorDF","2020-06-26"
"3065","colordistance","2017-06-03"
"3066","colorednoise","2017-10-10"
"3067","colorfast","2024-12-16"
"3068","colorfindr","2018-09-30"
"3069","colorhcplot","2015-10-02"
"3070","colorist","2020-03-26"
"3071","colorizer","2020-11-06"
"3072","colormap","2016-10-21"
"3073","ColorNameR","2021-07-08"
"3074","colorplane","2023-03-03"
"3075","colorr","2017-02-20"
"3076","colorRamp2","2022-12-21"
"3077","colorRamps","2007-04-06"
"3078","colorrepel","2024-09-17"
"3079","colors3d","2023-10-31"
"3080","colorscience","2014-07-18"
"3081","colorsGen","2023-10-28"
"3082","colorspace","2005-01-20"
"3083","colorSpec","2016-05-15"
"3084","Colossus","2023-09-28"
"3085","colouR","2023-07-19"
"3086","colourlovers","2014-01-29"
"3087","colourpicker","2016-08-13"
"3088","colourvalues","2018-09-30"
"3089","colourvision","2016-11-10"
"3090","COLP","2022-09-29"
"3091","cols","2023-10-30"
"3092","cols4all","2023-02-02"
"3093","colt","2017-10-02"
"3094","comat","2019-08-25"
"3095","comato","2014-03-18"
"3096","COMBAT","2017-01-11"
"3097","combat.enigma","2023-10-06"
"3098","ComBatFamQC","2025-01-20"
"3099","combcoint","2025-06-13"
"3100","combinat","2002-02-01"
"3101","combinationpvalues","2021-05-19"
"3102","combinatorics","2022-11-01"
"3103","combinedevents","2020-09-23"
"3104","CombinePortfolio","2016-06-08"
"3105","combinIT","2022-03-21"
"3106","CombinS","2013-12-12"
"3107","combiroc","2021-08-17"
"3108","combiter","2016-09-26"
"3109","COMBO","2023-04-19"
"3110","comclim","2013-10-19"
"3111","cometExactTest","2015-06-24"
"3112","cometr","2020-05-08"
"3113","comets","2024-02-26"
"3114","comf","2016-03-06"
"3115","comFuncs","2020-12-09"
"3116","ComICS","2015-12-09"
"3117","CoMiRe","2021-10-08"
"3118","COMIX","2022-05-10"
"3119","COMMA","2024-07-21"
"3120","commafree","2022-11-11"
"3121","CommEcol","2016-07-28"
"3122","CommKern","2022-09-20"
"3123","common","2022-07-18"
"3124","CommonDataModel","2024-02-07"
"3125","CommonJavaJars","2011-05-17"
"3126","commonmark","2015-05-28"
"3127","CommonMean.Copula","2019-12-15"
"3128","commonsMath","2017-05-24"
"3129","communication","2021-02-25"
"3130","comorbidity","2018-01-08"
"3131","comorbidPGS","2024-04-30"
"3132","comorosmaps","2022-06-06"
"3133","Comp2ROC","2013-05-20"
"3134","comparator","2020-12-10"
"3135","compare","2008-06-16"
"3136","compareC","2015-01-28"
"3137","CompareCausalNetworks","2015-06-24"
"3138","compareCstat","2025-06-06"
"3139","CompAREdesign","2020-12-09"
"3140","compareDF","2016-03-08"
"3141","compareGroups","2010-07-29"
"3142","compareMCMCs","2022-09-20"
"3143","CompareMultipleModels","2023-04-12"
"3144","comparer","2017-11-02"
"3145","CompareTests","2012-10-29"
"3146","comparison","2012-01-10"
"3147","ComparisonSurv","2019-12-15"
"3148","compas","2018-12-02"
"3149","CompDist","2017-08-17"
"3150","comperank","2018-05-30"
"3151","comperes","2018-05-11"
"3152","competitiontoolbox","2019-09-12"
"3153","CompExpDes","2024-03-28"
"3154","CompGR","2024-03-12"
"3155","Compind","2014-09-24"
"3156","compindexR","2023-03-16"
"3157","compindPCA","2023-05-16"
"3158","completejourney","2019-08-23"
"3159","complexity","2017-01-21"
"3160","complexlm","2023-06-12"
"3161","complexNet","2021-03-31"
"3162","complexplus","2016-08-16"
"3163","ComplexUpset","2020-12-08"
"3164","complmrob","2014-08-13"
"3165","CompMix","2024-05-22"
"3166","CompModels","2020-10-13"
"3167","COMPoissonReg","2010-05-25"
"3168","CompositeReliability","2023-07-21"
"3169","compositeReliabilityInNestedDesigns","2024-09-21"
"3170","Compositional","2016-02-09"
"3171","CompositionalML","2024-03-14"
"3172","CompositionalRF","2024-10-02"
"3173","compositions","2005-06-10"
"3174","compound.Cox","2012-04-16"
"3175","CompoundEvents","2020-02-28"
"3176","CompPareto","2023-10-17"
"3177","CompQuadForm","2010-06-22"
"3178","CompR","2015-07-01"
"3179","comprehenr","2019-03-08"
"3180","compute.es","2010-03-23"
"3181","ComradesM","2024-08-23"
"3182","ComRiskModel","2023-05-08"
"3183","comsimitv","2020-10-22"
"3184","comstab","2024-02-20"
"3185","comtradr","2017-04-05"
"3186","con2aqi","2018-08-20"
"3187","con2lki","2021-01-29"
"3188","concatenate","2016-05-08"
"3189","concatipede","2021-08-06"
"3190","concaveman","2017-07-26"
"3191","concom","2022-06-15"
"3192","ConconiAnaerobicThresholdTest","2024-01-22"
"3193","concordance","2016-01-11"
"3194","ConcordanceTest","2020-09-28"
"3195","concorR","2020-06-03"
"3196","concstats","2022-05-05"
"3197","CONCUR","2020-03-25"
"3198","cond","2009-09-24"
"3199","condathis","2024-12-11"
"3200","CondCopulas","2022-03-30"
"3201","condensr","2023-08-30"
"3202","condformat","2016-03-07"
"3203","condGEE","2009-09-06"
"3204","CondIndTests","2017-06-29"
"3205","condir","2017-02-15"
"3206","CondiS","2022-01-13"
"3207","conditionalProbNspades","2024-10-03"
"3208","conditionz","2019-04-24"
"3209","condMVNorm","2015-02-11"
"3210","CondMVT","2022-06-28"
"3211","condor","2023-04-03"
"3212","condorOptions","2022-12-14"
"3213","condSURV","2016-05-25"
"3214","condTruncMVN","2020-09-17"
"3215","conductor","2022-04-28"
"3216","condvis","2016-02-23"
"3217","condvis2","2019-06-28"
"3218","coneproj","2013-07-15"
"3219","conf","2018-03-02"
"3220","conf.design","2001-06-08"
"3221","confcons","2024-03-17"
"3222","confidence","2014-09-19"
"3223","ConfidenceEllipse","2024-04-22"
"3224","config","2016-06-08"
"3225","ConfigParser","2017-08-22"
"3226","configr","2017-01-15"
"3227","configulaR","2025-04-25"
"3228","configural","2019-02-19"
"3229","confinterpret","2017-03-15"
"3230","confintr","2020-06-04"
"3231","confintROB","2024-06-06"
"3232","ConfIntVariance","2019-03-10"
"3233","conflicted","2018-05-31"
"3234","conflr","2020-03-16"
"3235","ConfMatrix","2024-11-03"
"3236","conformalbayes","2022-03-10"
"3237","conformalClassification","2017-12-22"
"3238","conformalInference.fd","2022-01-25"
"3239","conformalInference.multi","2022-01-25"
"3240","conformalpvalue","2023-10-05"
"3241","ConformalSmallest","2021-08-09"
"3242","confreq","2013-12-24"
"3243","confSAM","2017-01-18"
"3244","ConfusionTableR","2021-07-21"
"3245","ConfZIC","2023-05-20"
"3246","congress","2022-10-12"
"3247","CongressData","2024-09-03"
"3248","CongreveLamsdell2016","2019-02-05"
"3249","CoNI","2021-09-30"
"3250","conicfit","2014-03-07"
"3251","Conigrave","2016-06-16"
"3252","conjoint","2011-10-02"
"3253","ConjointChecks","2012-03-01"
"3254","conjurer","2020-01-07"
"3255","conleyreg","2021-05-27"
"3256","conmet","2021-08-21"
"3257","ConNEcT","2021-11-02"
"3258","connectapi","2022-07-21"
"3259","connectcreds","2025-01-31"
"3260","connected","2025-03-05"
"3261","ConnectednessApproach","2022-03-22"
"3262","connections","2019-10-28"
"3263","connectoModa","2024-02-26"
"3264","connector","2025-04-25"
"3265","connectwidgets","2021-07-23"
"3266","ConnMatTools","2014-04-03"
"3267","conogive","2020-06-30"
"3268","conos","2021-02-23"
"3269","conover.test","2015-09-26"
"3270","conquer","2020-04-15"
"3271","conquestr","2019-03-08"
"3272","conrad","2023-07-03"
"3273","ConsensusClustering","2024-03-05"
"3274","ConsensusOPLS","2024-06-20"
"3275","conserveR","2021-08-02"
"3276","consibiocloudclient","2024-07-30"
"3277","consolechoice","2022-02-17"
"3278","consort","2021-08-10"
"3279","consortr","2021-09-14"
"3280","ConSpline","2015-03-30"
"3281","ConsRank","2015-08-01"
"3282","ConsRankClass","2021-05-18"
"3283","ConsReg","2020-04-05"
"3284","consrq","2024-11-21"
"3285","constants","2017-07-17"
"3286","constellation","2017-11-02"
"3287","constrainedKriging","2010-07-29"
"3288","conStruct","2018-09-19"
"3289","constructive","2023-06-06"
"3290","contactdata","2020-09-23"
"3291","container","2018-07-01"
"3292","ContaminatedMixt","2015-12-20"
"3293","contentid","2020-08-12"
"3294","conText","2021-10-25"
"3295","contfrac","2008-04-24"
"3296","contFracR","2022-04-20"
"3297","contingency","2021-01-29"
"3298","contingencytables","2022-01-20"
"3299","contoureR","2015-08-22"
"3300","ContourFunctions","2017-05-04"
"3301","contourPlot","2020-06-03"
"3302","contrast","2007-04-27"
"3303","contrastable","2024-10-01"
"3304","conTree","2023-06-07"
"3305","ContRespPP","2022-09-27"
"3306","contribution","2019-07-18"
"3307","control","2017-12-12"
"3308","controlfunctionIV","2022-08-23"
"3309","controlTest","2015-06-17"
"3310","contsurvplot","2022-08-16"
"3311","contTimeCausal","2021-06-09"
"3312","convdistr","2021-04-20"
"3313","ConvergenceClubs","2018-01-03"
"3314","ConvergenceConcepts","2008-08-11"
"3315","convergEU","2020-03-13"
"3316","conversim","2024-09-20"
"3317","convertBCD","2024-06-28"
"3318","convertbonds","2023-04-24"
"3319","convertid","2021-08-21"
"3320","ConvertPar","2022-03-14"
"3321","convertr","2016-10-13"
"3322","convevol","2013-11-15"
"3323","convey","2016-06-24"
"3324","Convolutioner","2021-03-11"
"3325","convoSPAT","2015-07-21"
"3326","CooccurrenceAffinity","2023-05-03"
"3327","cookiecutter","2023-09-08"
"3328","cookiemonster","2023-11-13"
"3329","cookies","2022-11-01"
"3330","CoOL","2021-02-23"
"3331","cooltools","2022-02-07"
"3332","coop","2016-03-19"
"3333","CoopGame","2019-03-20"
"3334","CoordinateCleaner","2017-11-10"
"3335","CooRTweet","2023-05-25"
"3336","copBasic","2011-08-06"
"3337","copCAR","2015-04-16"
"3338","copcor","2023-08-30"
"3339","CopCTS","2018-12-03"
"3340","cope","2015-01-27"
"3341","copent","2020-04-16"
"3342","CopernicusDEM","2021-05-15"
"3343","CopernicusMarine","2023-01-18"
"3344","cophescan","2023-10-25"
"3345","copre","2022-08-16"
"3346","cops","2019-11-01"
"3347","CopSens","2022-05-12"
